id-name-subject-message
258547-"Aula 23 - Discussão"-"Aula 23 - Discussão"-Postem nessa thread perguntas, comentários e sugestões sobre a Aula 23 (Lógica Proposicional de Segunda Ordem).
260682-"Aula 28 - Discussão."-"Aula 28 - Discussão."-Postem nessa thread perguntas, comentários e sugestões sobre a Aula 28.
260679-"Aula 26 - Discussão"-"Aula 26 - Discussão"-Postem nessa thread perguntas, comentários e sugestões sobre a Aula 26.
260683-"Aula 29 - Discussão."-"Aula 29 - Discussão."-Postem nessa thread perguntas, comentários e sugestões sobre a Aula 29.
260680-"Aula 27 - Discussão."-"Aula 27 - Discussão."-Postem nessa thread perguntas, comentários e sugestões sobre a Aula 27.
260677-"Aula 25 - Discussão."-"Aula 25 - Discussão."-Postem nessa thread perguntas, comentários e sugestões sobre a Aula 25.
258548-"Aula 24 - Discussão"-"Aula 24 - Discussão"-Postem nessa thread perguntas, comentários e sugestões sobre a Aula 24 (Tipos dependentes e cálculo de construções).
258546-"Aula 22 - Discussão"-"Aula 22 - Discussão"-"Postem nessa thread perguntas, comentários e sugestões sobre a Aula 22 (Lógica de Predicados - dedução natural)."
255879-Questões administrativas-Questões administrativas-Postem nesta thread dúvidas e comentários sobre as questões administrativas da disciplina (avaliações, prazos, etc.)
257377-"Aula 21 - Discussão"-"Aula 21 - Discussão"-"Professor, no início da aula 21, é dito que existem ideias que não conseguem ser representadas em lógica proposicional, e portanto precisamos de extendê-la.
Contudo, eu não entendi porque:
""All birds fly""
""Penguins are birds""
""Penguins fly""
Foram representados como p, q e r.
Se tivessem sido representados como q->p (ser pássaro implica em voar), q->r (ser pinguim implica em ser pássaro), q->p (ser pinguim implica em voar), tudo estaria resolvido, e não precisaríamos modificar a lógica, ao menos para este exemplo.
 
Além disso, mais adiante, eu notei outro ponto: A lógica do predicados como foi definida, não precisaria ter predicados. Bastaria substituí-los por funções de mesma aridade que mapeiem para dois termos específicos ""True"" e ""False"", e fazer substituir as fórmulas P(x,y) pelas fórmulas f(x,y) == ""True""."
254220-"Aula 15 - Discussão"-"Aula 15 - Discussão"-Postem nessa thread perguntas, comentários e sugestões sobre a Aula 15 (Cálculo Lambda Polimórfico: programação).
255241-"Aula 18 - Discussão"-"Aula 18 - Discussão"-"Postem nessa thread perguntas, comentários e sugestões sobre a Aula 18 (Cálculo Lambda Polimórfico de Alta Ordem - demonstrações de teoremas da lógica proposicional intuicionista)."
255877-"Aula 20 - Discussão"-"Aula 20 - Discussão"-"Postem nessa thread perguntas, comentários e sugestões sobre a Aula 20 (Cálculo Lambda Polimórfico de Alta Ordem - sintaxe simplificada)."
255876-"Aula 19 - Discussão"-"Aula 19 - Discussão"-"Postem nessa thread perguntas, comentários e sugestões sobre a Aula 19 (Cálculo Lambda Polimórfico de Alta Ordem - demonstrações de teoremas da lógica proposicional clássica)."
255240-"Aula 17 - Discussão"-"Aula 17 - Discussão"-"Postem nessa thread perguntas, comentários e sugestões sobre a Aula 17 (Cálculo Lambda Polimórfico de Alta Ordem - programação)."
255242-"Aula 19 - Discussão"-"Aula 19 - Discussão"-"Postem nessa thread perguntas, comentários e sugestões sobre a Aula 19 (Cálculo Lambda Polimórfico de Alta Ordem - demonstrações de teoremas da lógica proposicional clássica)."
255239-"Aula 16 - Discussão"-"Aula 16 - Discussão"-"Postem nessa thread perguntas, comentários e sugestões sobre a Aula 16 (Cálculo Lambda Polimórfico de Alta Ordem - sintaxe e semântica). "
254219-"Aula 14 - Discussão"-"Aula 14 - Discussão"-Postem nessa thread perguntas, comentários e sugestões sobre a Aula 14 (Cálculo Lambda Polimórfico: sintaxe e semântica).
253823-"Aula 13 - Discussão"-"Aula 13 - Discussão"-"Postem nessa thread perguntas, comentários e sugestões sobre a Aula 13 (Lógica Proposicional e Isomorfismo de Curry-Howard)."
253733-"Aula 12 - Discussão"-"Aula 12 - Discussão"-Postem nessa thread perguntas, comentários e sugestões sobre a Aula 12 (Lógica Proposicional).
